                                             三國志III 人物表                                              
┏━━━━━┳━━━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┓
┃ ID  ┃ 姓名   ┃   顏 ┃ 野心 ┃ 運氣 ┃ 冷靜 ┃ 勇猛 ┃ 陸指 ┃ 水指 ┃ 武力 ┃ 智力 ┃ 政治 ┃ 魅力 ┃ 相性 ┃ 義理 ┃
│ 127 │ 陳應   │ 8442 │    0 │    3 │    1 │    0 │   53 │   21 │   63 │   20 │   14 │   21 │   56 │   30 │
│ 128 │ 陳宮   │  123 │    2 │    2 │    2 │    0 │   85 │   75 │   54 │   80 │   71 │   67 │   15 │   78 │
│ 129 │ 陳矯   │ C6E2 │    1 │    2 │    1 │    3 │   18 │    9 │   20 │   68 │   79 │   71 │   29 │   70 │
│ 130 │ 陳珪   │ C0EB │    0 │    1 │    2 │    0 │   30 │   11 │   36 │   68 │   77 │   79 │   79 │   84 │
│ 131 │ 陳震   │  173 │    2 │    0 │    2 │    0 │   32 │   18 │   35 │   65 │   76 │   39 │   94 │   45 │
│ 132 │ 陳就   │ 8590 │    1 │    3 │    1 │    3 │   42 │   59 │   71 │   45 │   33 │   51 │   41 │   53 │
│ 133 │ 陳登   │  208 │    1 │    0 │    2 │    1 │   25 │   18 │   27 │   70 │   73 │   75 │   79 │   70 │
│ 134 │ 陳武   │ 81DC │    1 │    2 │    2 │    1 │   58 │   37 │   69 │   55 │   49 │   35 │  120 │   48 │
│ 135 │ 陳蘭   │ 8A1B │    1 │    2 │    1 │    3 │   54 │   20 │   65 │   32 │   20 │   32 │  145 │   25 │
│ 136 │ 陳琳   │ D6BB │    1 │    2 │    2 │    1 │   55 │   54 │   23 │   80 │   66 │   54 │   38 │   64 │
│ 137 │ 張允   │ 867C │    1 │    3 │    1 │    0 │   50 │   21 │   59 │   60 │   68 │   44 │   36 │   40 │
│ 138 │ 趙雲   │  112 │    1 │    3 │    3 │    2 │   87 │   83 │   98 │   84 │   80 │   93 │   75 │   90 │
│ 139 │ 張英   │ 84BC │    1 │    3 │    1 │    2 │   60 │   22 │   71 │   47 │   41 │   52 │  105 │   51 │
│ 140 │ 張衛   │  171 │    2 │    1 │    1 │    3 │   62 │   24 │   72 │   35 │   31 │   64 │    8 │   70 │
│ 141 │ 張燕   │ 86F9 │    1 │    2 │    2 │    0 │   75 │   70 │   71 │   52 │   44 │   75 │   40 │   59 │
│ 142 │ 張橫   │ 9A62 │    1 │    2 │    1 │    1 │   62 │   20 │   70 │   31 │   26 │   29 │   68 │   57 │
│ 143 │ 張顗   │ 9C95 │    3 │    0 │    2 │    1 │   54 │   19 │   59 │   53 │   42 │   18 │   88 │   21 │
│ 144 │ 張闓   │ 96D9 │    0 │    2 │    1 │    2 │   60 │   49 │   67 │   30 │   21 │   24 │   96 │   25 │
│ 145 │ 張勳   │ 92C0 │    1 │    2 │    1 │    2 │   69 │   70 │   70 │   65 │   54 │   73 │  138 │   43 │
│ 146 │ 趙昂   │ 8CD4 │    1 │    3 │    1 │    3 │   73 │   70 │   72 │   53 │   49 │   80 │   18 │   84 │
│ 147 │ 張郃   │  114 │    2 │    3 │    2 │    0 │   88 │   77 │   90 │   62 │   51 │   63 │   22 │   47 │
│ 148 │ 張濟   │ 982B │    1 │    2 │    2 │    2 │   76 │   72 │   74 │   59 │   65 │   71 │  148 │   29 │
│ 149 │ 張繡   │  206 │    2 │    1 │    1 │    3 │   68 │   28 │   74 │   53 │   49 │   67 │  148 │   53 │
│ 150 │ 張松   │  116 │    3 │    1 │    1 │    3 │   30 │   21 │   34 │   82 │   91 │   79 │   70 │   71 │
│ 151 │ 張任   │  117 │    2 │    0 │    2 │    2 │   84 │   71 │   87 │   69 │   65 │   76 │   56 │   97 │
│ 152 │ 趙範   │ 8DD8 │    1 │    3 │    1 │    3 │   49 │   19 │   52 │   54 │   58 │   40 │   66 │   61 │
│ 153 │ 張邈   │ 9413 │    2 │    0 │    1 │    0 │   48 │   32 │   57 │   26 │   19 │   37 │  145 │   92 │
│ 154 │ 張飛   │  119 │    2 │    3 │    3 │    0 │   83 │   70 │   99 │   30 │   18 │   36 │   75 │   89 │
│ 155 │ 張楊   │ 9050 │    2 │    2 │    1 │    3 │   62 │   29 │   64 │   51 │   43 │   76 │  115 │   82 │
│ 156 │ 張翼   │ 8CFE │    1 │    2 │    1 │    3 │   75 │   71 │   72 │   42 │   36 │   73 │   68 │   57 │
│ 157 │ 張遼   │  121 │    2 │    2 │    2 │    0 │   87 │   74 │   90 │   80 │   68 │   83 │   22 │   89 │
│ 158 │ 閻圃   │  189 │    1 │    3 │    1 │    3 │   27 │   14 │   36 │   80 │   78 │   48 │    5 │   65 │
│ 159 │ 程昱   │  126 │    2 │    3 │    2 │    1 │   85 │   75 │   25 │   90 │   71 │   75 │   22 │   60 │
│ 160 │ 程銀   │ 9CE9 │    2 │    0 │    1 │    2 │   63 │   21 │   68 │   35 │   30 │   43 │   72 │   80 │
│ 161 │ 鄭度   │ DE50 │    1 │    3 │    1 │    3 │   24 │   10 │   29 │   60 │   68 │   52 │   50 │   85 │
│ 162 │ 程普   │  127 │    1 │    3 │    2 │    1 │   73 │   82 │   69 │   81 │   70 │   85 │  123 │   88 │
│ 163 │ 典韋   │  128 │    2 │    3 │    2 │    0 │   84 │   74 │   96 │   33 │   21 │   54 │   23 │   80 │
│ 164 │ 田豐   │  129 │    2 │    0 │    1 │    1 │   88 │   73 │   45 │   90 │   71 │   75 │   96 │   64 │
│ 165 │ 鄧義   │ 9A76 │    0 │    3 │    1 │    1 │   53 │   17 │   61 │   25 │   19 │   53 │   39 │   62 │
│ 166 │ 鄧賢   │ DE02 │    2 │    0 │    1 │    3 │   66 │   25 │   69 │   65 │   70 │   60 │   48 │   78 │
│ 167 │ 董衡   │  175 │    2 │    1 │    2 │    1 │   72 │   71 │   80 │   45 │   42 │   74 │   29 │   73 │
│ 168 │ 董承   │ 819E │    2 │    2 │    1 │    2 │   70 │   70 │   70 │   57 │   43 │   78 │   92 │   86 │
│ 169 │ 鄧龍   │ 883A │    1 │    3 │    1 │    3 │   64 │   22 │   67 │   49 │   36 │   48 │   41 │   55 │
│ 170 │ 董和   │ 84E2 │    1 │    3 │    1 │    2 │   54 │   16 │   69 │   57 │   69 │   53 │   68 │   65 │
│ 171 │ 杜襲   │ 9041 │    1 │    3 │    1 │    3 │   57 │   21 │   68 │   65 │   61 │   55 │   29 │   68 │
│ 172 │ 潘璋   │ 9598 │    2 │    0 │    1 │    3 │   72 │   40 │   75 │   38 │   29 │   56 │  115 │   69 │
│ 173 │ 樊能   │ 8E5D │    1 │    2 │    1 │    2 │   50 │   26 │   52 │   48 │   42 │   53 │  100 │   61 │
│ 174 │ 馬延   │ 9695 │    1 │    3 │    1 │    3 │   61 │   18 │   65 │   43 │   36 │   55 │   96 │   32 │
│ 175 │ 馬漢   │ 94F0 │    1 │    3 │    1 │    3 │   55 │   24 │   62 │   41 │   37 │   56 │   52 │   63 │
│ 176 │ 袁尚   │    3 │    2 │    2 │    1 │    2 │   74 │   20 │   69 │   63 │   57 │   51 │  101 │   78 │
│ 177 │ 馬休   │  135 │    1 │    2 │    0 │    2 │   49 │   20 │   54 │   47 │   42 │   52 │   70 │   69 │
│ 178 │ 馬岱   │  188 │    1 │    1 │    2 │    1 │   74 │   71 │   81 │   47 │   39 │   73 │   71 │   76 │
│ 179 │ 馬超   │  137 │    1 │    3 │    1 │    3 │   88 │   77 │   97 │   43 │   38 │   63 │   70 │   79 │
│ 180 │ 馬玩   │ 894A │    0 │    2 │    1 │    2 │   53 │   41 │   60 │   41 │   20 │   25 │   68 │   18 │
│ 181 │ 費詩   │ C998 │    1 │    3 │    1 │    2 │   22 │    9 │   30 │   54 │   63 │   56 │   68 │   59 │
│ 182 │ 糜竺   │  142 │    1 │    1 │    2 │    1 │   36 │   15 │   40 │   64 │   78 │   78 │   81 │   80 │
│ 183 │ 糜芳   │  222 │    1 │    3 │    1 │    3 │   59 │   21 │   63 │   25 │   18 │   10 │   81 │    8 │
│ 184 │ 傅幹   │ C039 │    1 │    1 │    1 │    3 │   38 │   19 │   44 │   69 │   78 │   59 │   30 │   62 │
│ 185 │ 傅巽   │ C910 │    0 │    3 │    2 │    2 │   39 │   18 │   43 │   66 │   75 │   58 │   38 │   52 │
│ 186 │ 袁罈   │    5 │    3 │    0 │    1 │    1 │   56 │   19 │   58 │   54 │   48 │   53 │  101 │   50 │
│ 187 │ 文聘   │  145 │    1 │    3 │    1 │    3 │   78 │   71 │   84 │   24 │   18 │   65 │   38 │   61 │
│ 188 │ 逢紀   │  186 │    2 │    2 │    2 │    0 │   66 │   62 │   54 │   82 │   64 │   52 │  104 │   47 │
│ 189 │ 法正   │  146 │    2 │    1 │    2 │    0 │   66 │   65 │   52 │   87 │   78 │   80 │   70 │   69 │
│ 190 │ 龐統   │  147 │    2 │    3 │    2 │    1 │   88 │   77 │   60 │   98 │   82 │   88 │   74 │   88 │
│ 191 │ 滿寵   │  149 │    2 │    0 │    1 │    3 │   72 │   70 │   38 │   81 │   70 │   94 │   29 │   85 │
│ 192 │ 毛玠   │ 9DA1 │    1 │    3 │    1 │    2 │   48 │   50 │   57 │   49 │   47 │   52 │   30 │   56 │
│ 193 │ 高沛   │ 98F2 │    1 │    3 │    1 │    3 │   56 │   20 │   59 │   43 │   41 │   47 │   48 │   60 │
│ 194 │ 楊琦   │ CCF2 │    1 │    0 │    1 │    2 │   44 │   22 │   47 │   66 │   74 │   78 │   85 │   82 │
│ 195 │ 楊昂   │ 8661 │    1 │    3 │    1 │    1 │   59 │   22 │   65 │   23 │   18 │   20 │    8 │   25 │
│ 196 │ 楊秋   │ 9432 │    1 │    3 │    1 │    2 │   62 │   23 │   66 │   15 │   11 │   37 │   68 │   21 │
