ID,姓名,顏,政治,財政,補給,建設,指揮,步兵,騎兵,砲兵,冷靜,勇敢,魅力,幸運,城市,國籍
78,Hill,81,C,C,C,C,B,B,C,C,,,,,布里斯托爾,英格蘭
79,Pershey,82,D,D,C,D,D,C,D,B,,膽小,,,布里斯托爾,英格蘭
80,Ponsonby,83,C,C,B,C,B,C,B,D,,勇氣,,,愛丁堡,英格蘭
81,McDonnel,84,D,D,C,C,D,C,C,C,,,,,利物浦,英格蘭
82,Colburn,85,C,D,C,D,D,C,D,C,,,,,愛丁堡,英格蘭
83,Castlereagh,86,C,C,C,D,C,B,D,D,,,,,都柏林,英格蘭
84,Wade,87,C,C,C,D,C,C,D,D,,,,,利物浦,英格蘭
85,Mercer,88,D,D,C,B,D,C,D,C,,,,,愛丁堡,英格蘭
86,Delancey,89,C,D,C,C,C,C,C,D,,,,,布里斯托爾,英格蘭
87,Ramsay,90,D,D,C,C,D,D,D,C,,,,,利物浦,英格蘭
88,Chatham,91,C,C,D,D,C,D,D,D,,,,,倫敦,英格蘭
89,Nomire,92,D,D,D,C,D,C,D,C,,,,,愛丁堡,英格蘭
90,Baring,93,D,D,C,C,C,C,D,C,,,,,利物浦,英格蘭
91,Dawson,94,D,D,C,C,D,B,D,D,,,,,布里斯托爾,英格蘭
92,Pavel I,95,D,C,C,C,D,D,D,D,單純,膽小,,,聖彼得堡,俄羅斯
93,Alexander I,96,B,B,C,C,B,C,C,C,,,魅力,,聖彼得堡,俄羅斯
94,Bennigsen,97,B,C,C,B,B,B,C,B,冷靜,,,幸運,聖彼得堡,俄羅斯
95,Rostopchin,98,B,C,C,B,D,C,D,C,單純,膽小,,幸運,莫斯科,俄羅斯
96,Kutusov,99,C,B,A,B,A,A,C,B,冷靜,,,幸運,斯摩棱斯克,俄羅斯
97,Buxhowden,100,C,D,B,B,B,B,C,B,冷靜,,,,明斯克,俄羅斯
98,Platov,101,D,D,C,D,D,D,A,D,,,,,明斯克,俄羅斯
99,Yermolov,102,D,D,D,D,C,C,B,C,,,,,聖彼得堡,俄羅斯
100,Gerschakov,103,D,D,C,C,C,C,D,B,,,,,聖彼得堡,俄羅斯
101,Bagavout,104,D,D,B,C,C,C,D,B,,,,,基輔,俄羅斯
102,Barclay,105,C,C,A,B,A,B,C,B,冷靜,,,,基輔,俄羅斯
103,Raefsky,106,D,D,C,B,C,B,D,A,,,,,基輔,俄羅斯
104,Ubarov,107,D,D,D,D,C,D,B,C,,,,,明斯克,俄羅斯
105,Chichagov,108,C,D,C,B,D,D,D,B,,,,,莫斯科,俄羅斯
106,Bagration,109,C,C,B,B,B,B,B,C,,勇氣,魅力,,明斯克,俄羅斯
107,Korff,110,D,D,C,D,C,C,C,D,,,,,聖彼得堡,俄羅斯
108,Docturov,111,D,D,C,C,C,C,C,B,單純,,,,明斯克,俄羅斯
109,Gortschakow,112,D,D,C,C,C,B,C,C,,,,,莫斯科,俄羅斯
110,Kleitz,113,D,D,D,D,C,D,B,D,,膽小,,,基輔,俄羅斯
111,Wittgenstein,114,C,D,B,C,B,B,C,B,,,,,斯摩棱斯克,俄羅斯
112,Tolstoi,115,D,C,C,B,D,B,D,C,,,,,莫斯科,俄羅斯
113,Kaminski,116,D,D,C,C,C,C,C,C,,,,,聖彼得堡,俄羅斯
114,Tutchikov,117,C,D,C,B,C,B,C,C,,,,,斯摩棱斯克,俄羅斯
115,Miloradovich,118,C,D,B,B,C,B,C,B,,,,,基輔,俄羅斯
116,Nevelofsky,119,C,D,B,C,C,B,D,C,,,,,基輔,俄羅斯
117,Golitsyn,120,D,D,D,D,D,C,B,C,,,,,斯摩棱斯克,俄羅斯
118,Sievers,121,D,D,C,D,C,D,B,C,,,,,明斯克,俄羅斯
119,Tormassov,122,D,D,D,D,C,D,B,C,,,,,莫斯科,俄羅斯
120,Constantin,123,C,B,C,B,B,B,C,C,,,魅力,,聖彼得堡,俄羅斯
121,Woronsov,124,D,D,C,D,C,D,C,D,,,,,斯摩棱斯克,俄羅斯
122,Wilhelm III,125,C,C,C,C,D,D,D,D,,膽小,,,柏林,普魯士
123,Brunswick,126,C,C,B,C,B,B,C,B,,勇氣,魅力,,柏林,普魯士
124,Blucher,127,B,C,B,C,B,B,A,C,單純,勇氣,,幸運,柏林,普魯士
125,Hohenloe,128,B,C,B,C,B,C,C,B,,,,幸運,柏林,普魯士
126,Hardenberg,129,A,B,D,B,C,D,D,D,冷靜,,,,柏林,普魯士
127,Weimar,130,B,C,D,C,C,B,C,C,,,,,柯尼斯堡,普魯士
128,Ruchel,131,C,C,D,C,B,B,D,D,,,,,華沙,普魯士
129,Yorck,132,C,D,C,C,B,B,D,C,,,,,華沙,普魯士
130,Scharnhorst,133,B,B,C,C,C,B,C,A,冷靜,,,,柯尼斯堡,普魯士
131,Bulow,134,D,D,D,D,B,C,B,D,單純,,,,柯尼斯堡,普魯士
132,Dombrowski,56,C,D,D,D,B,D,B,D,,,,,華沙,法蘭西
133,Stein,135,B,A,B,B,C,D,D,D,冷靜,,魅力,幸運,柏林,普魯士
134,Gneisenau,136,C,C,A,B,B,B,C,B,冷靜,,,幸運,柯尼斯堡,普魯士
135,Boyen,137,B,C,C,B,B,C,C,C,,,,,柏林,普魯士
136,Poniatowski,57,B,C,B,D,C,C,B,D,,,魅力,,華沙,法蘭西
137,Kleist,138,D,D,C,D,B,C,C,D,,,,,柏林,普魯士
138,Oudinot,55,C,D,C,B,C,B,C,C,,勇氣,,,巴黎,法蘭西
139,Zieten,139,D,D,C,D,C,C,C,C,,,,,華沙,普魯士
140,Friedrich,140,B,C,C,C,B,B,C,C,,勇氣,,,柏林,普魯士
141,Ludwig,141,C,C,B,C,B,C,C,C,,,,,柏林,普魯士
142,Thielmann,142,C,C,C,B,B,C,C,C,,,,,柏林,普魯士
143,August,143,C,C,C,D,B,C,B,D,,,,,柏林,普魯士
144,Schill,144,C,C,B,C,C,C,C,B,,,,,柯尼斯堡,普魯士
145,Clausewitz,145,D,D,A,A,A,C,C,C,冷靜,,,,柏林,普魯士
146,Kosiultelski,146,D,C,D,D,C,D,B,D,單純,,,,華沙,普魯士
147,Franz I,147,B,C,D,C,C,C,C,D,,膽小,魅力,,維也納,奧地利
148,Wurmser,148,C,C,C,B,C,B,C,D,,,,幸運,米蘭,奧地利
149,Alvintzi,149,C,C,D,C,C,C,B,D,單純,,,幸運,米蘭,奧地利
150,Otto I,150,C,C,B,B,C,B,C,C,,,,幸運,維也納,奧地利
151,Leopold,151,B,C,C,D,C,C,C,C,,,,,布拉格,奧地利
152,Mack,152,B,C,D,C,D,B,C,C,單純,,,,維也納,奧地利
153,Cobenzl,153,B,C,D,C,D,D,D,D,,膽小,魅力,,維也納,奧地利
154,Wienfun,154,C,D,B,D,D,D,B,C,,,,,克勞森堡,奧地利
155,Belegarde,155,D,D,C,C,C,C,C,B,,,,,克勞森堡,奧地利
156,Eugen,156,C,C,D,D,C,C,C,C,,,,,布拉格,奧地利
157,Ferdinand,157,B,C,B,B,C,B,C,C,,,,幸運,米蘭,奧地利
158,Schmidt,158,C,D,C,C,C,D,D,B,,,,,布達佩斯,奧地利
159,Melas,159,C,C,C,C,B,B,D,D,,,,幸運,維也納,奧地利
160,Gruber,160,C,D,C,D,C,C,C,D,,膽小,,,佛羅倫斯,奧地利
161,Luveck,161,D,D,C,D,C,C,D,B,,,,,布達佩斯,奧地利
162,Werneck,162,D,D,C,D,D,D,B,D,,,,,克勞森堡,奧地利
163,Charles,163,C,C,C,A,A,B,C,C,,,魅力,幸運,維也納,奧地利
164,Schwarzenberg,164,B,C,B,B,B,B,C,C,冷靜,,,,維也納,奧地利
165,Rujean,165,C,B,D,C,C,C,D,C,,,,,佛羅倫斯,奧地利
166,Metternich,166,A,A,A,B,D,D,D,D,冷靜,,魅力,幸運,維也納,奧地利
167,Johann,167,C,D,D,D,B,C,B,D,,,魅力,幸運,克勞森堡,奧地利
168,Willem,176,B,C,C,C,C,C,C,D,,,,,阿姆斯特丹,荷蘭
169,BonHomme,177,C,C,C,D,C,D,C,D,,,,,阿姆斯特丹,荷蘭
170,Hogendorp,178,C,B,D,C,D,D,C,C,,,,,阿姆斯特丹,荷蘭
171,Jansen,179,D,B,D,C,D,C,C,D,單純,,,,阿姆斯特丹,荷蘭
172,Cambier,180,D,B,C,C,D,C,D,C,,,,,阿姆斯特丹,荷蘭
173,Krayenoff,181,D,C,C,D,D,C,D,D,,膽小,,,阿姆斯特丹,荷蘭
174,Maximilian,182,B,C,C,B,C,B,C,C,,,魅力,,慕尼黑,巴伐利亞
175,Berg,183,B,C,C,C,B,C,C,C,,,魅力,,法蘭克福,巴伐利亞
176,Cleves,184,B,C,D,D,C,C,C,C,,,,,慕尼黑,巴伐利亞
177,Perponche,185,C,D,C,B,B,D,C,C,,,,,法蘭克福,巴伐利亞
178,Montgelas,186,B,B,C,C,D,D,C,D,,,,,慕尼黑,巴伐利亞
179,Schase,187,D,D,D,C,D,C,C,D,,,,,法蘭克福,巴伐利亞
180,Reval,188,D,D,C,D,D,C,C,D,單純,,,,慕尼黑,巴伐利亞
181,Selim III,189,C,C,D,D,C,D,B,D,冷靜,,魅力,幸運,伊斯坦堡,土耳其
182,Mustafa IV,190,D,D,D,D,C,D,C,D,單純,,,,伊斯坦堡,土耳其
183,Mahmut II,191,C,C,D,D,C,C,B,C,冷靜,勇氣,魅力,幸運,伊斯坦堡,土耳其
184,Pasvanoglu,192,B,C,C,D,D,C,C,D,,,,,貝爾格萊德,土耳其
185,Abdul,193,B,B,D,C,D,D,D,B,,,,,伊斯坦堡,土耳其
186,Ypsilante,194,B,C,D,D,C,C,C,C,,,,,布加勒斯特,土耳其
187,Frusht,195,C,C,C,D,C,D,B,D,,,,,伊斯坦堡,土耳其
188,Rhigas,196,B,C,D,D,D,D,D,D,,,魅力,,雅典,土耳其
189,Ibrahim,197,D,D,D,D,D,D,B,D,,,,,伊斯坦堡,土耳其
190,Vizier,198,C,D,D,D,D,D,B,D,,,,,薩拉耶沃,土耳其
191,Epithimus,199,B,C,C,C,D,B,D,C,,,,,雅典,土耳其
192,Tepelene,200,B,C,B,D,B,C,C,D,,,,,貝爾格萊德,土耳其
193,Murad,201,D,C,D,D,C,C,B,D,,,,,薩拉耶沃,土耳其
194,Ali,202,D,D,D,D,B,D,A,D,,勇氣,,幸運,雅典,土耳其
195,Kabakchuor,203,C,C,C,C,B,C,D,C,,,,,布加勒斯特,土耳其
196,Cherebi,204,D,D,C,D,C,C,C,D,,,,,布加勒斯特,土耳其
197,Bayrakdar,205,D,D,D,C,C,C,C,C,,,,,貝爾格萊德,土耳其
198,Karageorge,206,B,B,D,D,C,D,C,D,,,,,薩拉耶沃,土耳其
199,Tayarl,207,D,D,C,D,C,D,C,D,,,,,布加勒斯特,土耳其
200,Selanovitch,208,B,C,B,C,D,D,D,B,,,,,薩拉耶沃,土耳其
201,Carlos,209,C,C,D,D,C,C,C,C,,膽小,,,馬德里,西班牙
202,Fernando,210,C,C,C,C,B,C,C,C,,,魅力,,馬德里,西班牙
203,Diaz,211,C,C,B,B,D,A,D,D,,勇氣,,,馬德里,西班牙
204,Infantado,212,C,C,D,C,C,C,C,D,,,,,馬德里,西班牙
205,Cuesta,213,C,C,D,C,C,B,D,C,,,,,克魯納,西班牙
206,Blake,214,C,C,B,C,B,B,C,C,,勇氣,,,薩拉戈薩,西班牙
207,Beralde,215,C,D,D,B,C,C,D,B,,,,,薩拉戈薩,西班牙
208,Albuquerque,216,B,C,B,C,C,C,C,D,,,,,薩拉戈薩,西班牙
209,Castanos,217,C,C,D,D,B,B,D,C,,,,,巴塞羅那,西班牙
210,Godoy,218,B,B,D,D,D,D,D,D,,膽小,,,馬德里,西班牙
211,Daois,219,C,D,C,B,C,C,D,B,,,,,馬德里,西班牙
212,Arezaga,220,C,C,C,C,C,C,B,D,,,,,克魯納,西班牙
213,Romana,221,C,D,C,D,C,D,B,D,單純,,,,巴塞羅那,西班牙
214,Core,222,B,C,C,B,D,D,D,D,,,,,克魯納,西班牙
215,Redingo,223,D,C,C,D,C,C,C,D,,,,,馬德里,西班牙
216,Mina,224,C,D,C,B,C,A,D,D,,,,,巴塞羅那,西班牙
217,Pickney,225,D,D,C,D,C,B,C,D,,,,,薩拉戈薩,西班牙
218,Joao VI,226,B,C,B,C,C,C,C,C,,膽小,,,里斯本,葡萄牙
219,Graham,227,C,C,B,C,B,C,C,D,,,,,里斯本,葡萄牙
220,Forjaz,228,B,C,C,C,C,C,C,D,,,,,里斯本,葡萄牙
221,Sanchez,229,B,D,B,B,D,C,D,B,,,,,里斯本,葡萄牙
222,Valmoden,242,B,C,C,D,C,C,C,D,,,,,斯德哥爾摩,瑞典
223,Rucellai,169,C,B,C,D,C,C,C,D,,,,幸運,佛羅倫斯,奧地利
224,Serbelloni,170,B,B,D,D,D,D,D,D,,膽小,,幸運,米蘭,奧地利
225,Grimaldi,171,B,C,C,D,D,D,D,D,,,,,米蘭,奧地利
226,Galiani,172,C,B,C,C,D,D,D,D,,,,幸運,米蘭,奧地利
227,Neri,173,B,B,C,D,D,D,D,D,,膽小,,幸運,佛羅倫斯,奧地利
228,Lodovico,174,B,C,C,D,D,C,C,D,,,,,佛羅倫斯,奧地利
229,Colli,175,C,D,C,D,C,C,C,C,,,,,米蘭,奧地利
230,Beaulieu,168,C,D,D,C,B,C,C,C,,,,,米蘭,奧地利
231,Manin,230,B,B,B,C,C,C,D,D,,,魅力,,威尼斯,威尼斯
232,Casanova,231,B,C,B,C,D,D,D,D,單純,,魅力,,威尼斯,威尼斯
233,Battalia,232,C,B,C,D,C,D,C,D,,,,,威尼斯,威尼斯
234,Cornell,233,B,C,C,D,D,D,D,D,,,,,威尼斯,威尼斯
235,Dandolo,234,B,C,C,C,D,D,D,D,,,,,威尼斯,威尼斯
236,Pesaro,235,D,D,D,C,C,C,D,C,,,,,威尼斯,威尼斯
237,Carolina,236,C,B,D,D,D,D,D,D,,,,,那不勒斯,那普斯
238,Caracciolo,237,C,B,C,D,D,C,C,D,,,,,那不勒斯,那普斯
239,Russo,238,B,C,C,C,D,D,D,D,,,,,那不勒斯,那普斯
240,Acton,239,C,C,D,D,C,C,D,C,,,,,那不勒斯,那普斯
241,Cuocco,240,C,B,C,C,C,D,D,D,,,,,那不勒斯,那普斯
242,Coletta,241,D,C,B,D,C,C,C,D,,,,,那不勒斯,那普斯
243,Gustav IV,243,C,B,C,C,B,C,C,C,,,,,斯德哥爾摩,瑞典
244,Karl XIII,244,B,B,C,C,C,C,C,C,,,,,斯德哥爾摩,瑞典
245,Fersen,245,B,C,C,C,B,C,B,C,冷靜,,魅力,,斯德哥爾摩,瑞典
246,Christian VII,246,B,C,B,C,C,C,B,C,,,,,哥本哈根,丹麥
247,Frederik VI,247,B,C,C,C,C,D,C,C,,,,,哥本哈根,丹麥
248,Bernstorff,248,B,B,D,B,D,D,D,D,,,,,哥本哈根,丹麥
249,Jansen,249,C,D,C,C,B,D,C,C,,,,,魯貝克,丹麥
250,Bernhard,250,D,C,D,C,B,C,C,D,,,,,魯貝克,丹麥
251,Sweyn,251,D,C,C,D,D,C,D,B,,,,,奧斯陸,丹麥
252,Erik,252,C,C,D,D,C,B,D,D,,,,,奧斯陸,丹麥
253,Hague,253,B,C,D,B,C,C,D,D,,,,,奧斯陸,丹麥
254,Christie,254,B,C,C,D,D,D,C,C,,,,,奧斯陸,丹麥
