ID,姓名,顏,年齡,身體,知力,武力,信服力,運勢,忠誠度,城市,勢力,君主,水軍,兵士數,兵忠誠,兵武力,兵武裝
22,Yue Jin,7210,37,79,33,53,40,53,76,19,1,,○,500,10,10,10
23,Li Dian,A442,35,87,38,49,71,33,88,20,1,,,1000,10,10,10
24,Cao Pi,27,10,85,74,92,97,92,98,0,0,,○,800,10,10,10
25,Cao Zhi,7133,4,74,92,42,97,30,93,0,0,,○,900,10,10,10
26,Cao Rui,7132,0,81,84,41,95,89,94,0,0,,○,1000,10,10,10
27,Cao Xiu,A310,13,88,43,60,91,46,95,0,0,,○,1700,10,10,10
28,Cao Zhen,A322,11,84,78,79,90,75,90,0,0,,○,1500,10,10,10
29,Cao Chun,A344,26,82,25,65,87,40,92,13,1,,,2000,10,10,10
30,Huang Gai,44,46,92,54,87,56,85,88,32,2,,○,1100,10,10,10
31,Sun Ce,22,21,65,89,98,99,17,100,28,2,◎,○,1900,10,10,10
32,Zhou Yu,7,21,74,97,56,94,25,94,28,2,,○,2500,10,10,10
33,Sun Quan,19,14,93,94,93,99,99,96,0,0,,○,3000,10,10,10
34,Han Dang,A312,40,82,47,54,59,49,87,32,2,,○,900,10,10,10
35,Cheng Pu,48,36,74,84,41,76,95,90,28,2,,,500,10,10,10
36,Zhu Zhi,9211,41,78,42,45,21,35,96,32,2,,,600,10,10,10
37,Jiang Qin,A203,29,89,59,78,55,55,89,32,2,,○,800,10,10,10
38,Zhou Tai,6314,33,84,53,86,64,79,87,28,2,,○,1000,10,10,10
39,Sun Yi,A330,9,76,18,64,54,78,89,0,0,,,500,10,10,10
40,Sun Yu,A420,8,81,63,61,92,71,96,0,0,,○,900,10,10,10
41,Sun Huan,A340,-1,88,32,85,88,84,97,0,0,,,700,10,10,10
42,Guan Yu,1,34,96,83,99,80,39,100,10,3,,○,500,10,10,10
43,Zhang Fei,4,29,98,32,99,33,36,100,10,3,,○,500,10,10,10
44,Cao Bao,8220,51,45,27,18,15,20,28,10,3,,,100,10,10,10
45,Liu Chan,18,-11,71,34,24,93,81,95,0,0,,,1000,10,10,10
46,Sun Gan,55,31,79,78,36,34,52,92,11,3,,,1500,10,10,10
47,Guan Ping,61,16,93,53,77,79,59,95,0,0,,○,600,10,10,10
48,Guan Xing,A400,8,82,53,77,49,73,96,0,0,,○,700,10,10,10
49,Liu Yong,7120,-20,82,66,21,37,52,98,0,0,,,1000,10,10,10
50,Liu Li,7240,-22,76,83,26,51,66,97,0,0,,,1000,10,10,10
51,Zhang Bao,6101,7,94,30,97,42,62,96,0,0,,○,700,10,10,10
52,Liu Feng,9430,6,85,71,43,81,96,94,0,0,,,600,10,10,10
53,Guan Suo,A100,4,87,57,91,74,83,94,0,0,,○,600,10,10,10
54,Chen Lin,7300,36,65,83,23,37,76,69,4,4,,,100,10,10,10
55,Yan Liang,40,41,89,21,89,64,27,89,5,4,,○,1000,10,10,10
56,Wen Chou,35,35,95,18,95,57,78,85,4,4,,○,900,10,10,10
57,Tian Feng,A421,36,87,82,62,46,23,93,5,4,,○,1100,10,10,10
58,Shen Pei,A143,37,93,32,66,78,32,98,5,4,,,800,10,10,10
59,Ju Shou,A123,40,85,88,56,53,21,95,4,4,,○,700,10,10,10
60,Guo Tu,47,42,89,43,90,16,85,88,4,4,,,1200,10,10,10
61,Xu Shou,7203,38,71,88,42,31,72,49,5,4,,,500,10,10,10
62,Gao Lan,7111,37,74,31,49,40,92,45,5,4,,○,700,10,10,10
63,Zhang He,6313,29,94,52,86,32,98,41,5,4,,○,900,10,10,10
64,Yuan Tan,A303,31,76,57,69,94,38,97,4,4,,○,1300,10,10,10
65,Yuan Xi,7142,30,73,52,46,89,22,99,4,4,,,1200,10,10,10
66,Yuan Shang,A324,26,82,63,87,98,61,96,5,4,,○,2400,10,10,10
67,Yuan Yin,9131,33,71,63,25,92,50,98,29,5,,,1100,10,10,10
68,Lu Fan,7121,32,74,77,31,26,92,22,29,5,,,800,10,10,10
69,Zhang Xun,A334,40,89,17,63,72,80,78,30,5,,○,900,10,10,10
70,Ji Ling,54,41,82,24,57,59,46,74,29,5,,○,1500,10,10,10
71,Lei Bo,9421,36,65,42,67,35,62,37,30,5,,○,500,10,10,10
72,Chen Ji,9313,36,81,26,39,19,86,79,37,5,,,700,10,10,10
73,Liang Ji,7323,37,89,38,40,62,20,89,38,5,,○,900,10,10,10
74,Li Feng,7310,39,88,28,33,38,53,87,38,5,,,1700,10,10,10
75,Liang Xing,7112,36,85,17,38,48,72,84,30,5,,,1400,10,10,10
76,Chen Lan,6404,35,79,31,66,25,90,31,37,5,,○,600,10,10,10
77,Huang Zu,8211,44,79,21,64,54,91,87,41,6,,○,1500,10,10,10
78,Han Sui,A204,34,71,57,69,31,33,81,40,6,,○,800,10,10,10
79,Kuai Yue,9243,39,74,88,20,43,34,78,39,6,,,300,10,10,10
80,Cai Mao,42,41,87,77,79,79,95,76,39,6,,○,2000,10,10,10
81,Liu Gong,9311,36,89,17,38,20,99,89,41,6,,,900,10,10,10
82,Liu Qi,41,16,89,92,30,84,18,97,0,0,,○,1300,10,10,10
83,Liu Coing,6243,5,74,62,78,93,60,93,0,0,,,700,10,10,10
84,Gan Ning,52,21,87,52,94,69,85,55,39,6,,○,1000,10,10,10
85,Wang Can,7200,30,82,87,19,26,47,78,19,1,,,200,10,10,10
86,Zhang Yun,A121,33,73,71,62,41,81,74,42,6,,○,1100,10,10,10
87,Cai He,9212,16,79,40,37,23,19,89,0,0,,○,700,10,10,10
88,Cai Zhong,9213,14,76,37,39,18,19,90,0,0,,○,700,10,10,10
89,Li Ru,45,46,35,91,29,33,44,74,0,0,,,1000,10,10,10
90,Lu Bu,5,41,82,21,100,86,24,100,7,11,◎,○,20000,10,10,10
91,Li Su,9414,40,71,26,58,17,51,19,0,0,,,5000,10,10,10
92,Li Jue,8100,48,74,43,46,82,43,100,21,12,◎,○,20000,10,10,10
93,Cai Yong,8021,67,32,91,16,15,16,100,0,0,,,100,10,10,10
94,Guo Xi,8002,50,63,37,59,60,31,79,21,12,,○,20000,10,10,10
95,Zhang Ji,8221,52,45,70,29,17,22,73,22,12,,,1600,10,10,10
96,Jia Xu,36,38,55,94,19,19,89,20,21,12,,,700,10,10,10
97,Hua Xiong,A141,41,78,29,90,69,20,82,0,0,,,20000,10,10,10
98,Fan Chou,8010,43,89,28,84,55,91,87,0,0,,,7000,10,10,10
99,Xu Long,8112,49,78,34,39,75,80,85,0,0,,○,10000,10,10,10
100,Hu Zhen,7113,38,82,24,48,39,87,89,0,0,,,5000,10,10,10
101,Zhang Cen,A232,36,85,24,65,28,52,76,0,0,,○,5000,10,10,10
102,Dong Min,8020,47,87,44,41,87,71,89,0,0,,,1000,10,10,10
103,Zhang Song,62,26,73,91,36,81,27,61,48,7,,,400,10,10,10
104,Fa Zheng,7031,21,78,87,44,71,34,63,48,7,,○,500,10,10,10
105,Meng Da,6140,24,82,77,71,68,43,41,47,7,,○,800,10,10,10
106,Huang Quan,9000,34,61,76,29,29,27,97,50,7,,,1000,10,10,10
107,Wang Lei,9022,36,63,62,26,20,35,99,48,7,,,200,10,10,10
108,Deng Lan,7021,23,74,59,33,30,30,81,23,7,,,700,10,10,10
109,Zhang Ren,6141,27,82,66,92,83,59,96,50,7,,○,1700,10,10,10
110,Liu Zhang,53,38,74,70,51,94,60,100,48,7,◎,○,2000,10,10,10
111,Yang Huai,A013,29,76,45,75,63,42,85,49,7,,○,1500,10,10,10
112,Gao Pei,6421,26,79,40,59,49,90,79,49,7,,○,1000,10,10,10
113,Liu Ba,6242,15,85,82,62,46,66,98,0,0,,,1200,10,10,10
114,Liu Gui,7104,22,73,47,50,67,49,89,23,7,,○,1800,10,10,10
115,Liu Xun,6224,6,87,45,60,88,37,98,0,0,,○,3000,10,10,10
116,Wu Yi,8102,50,59,66,79,90,50,95,49,7,,○,2000,10,10,10
117,Wu Lan,6322,26,89,44,81,73,57,88,47,7,,○,5000,10,10,10
118,Lei Tong,6323,23,84,41,90,47,41,90,47,7,,○,4500,10,10,10
119,Yan Yan,58,35,85,70,88,32,76,87,23,7,,○,3700,10,10,10
120,Ma Chao,26,17,89,62,98,84,63,97,26,8,,○,1500,10,10,10
121,Ma Lin,7044,15,71,51,55,77,23,95,0,0,,,1100,10,10,10
122,Ma Tie,6010,11,79,56,68,82,26,92,0,0,,,900,10,10,10
123,Ma Dai,64,16,90,69,87,85,84,90,0,0,,○,1200,10,10,10
124,Hou Xuan,6411,21,71,51,77,68,70,74,24,8,,○,1000,10,10,10
125,Cheng Yin,6022,23,79,41,60,27,24,81,25,8,,○,1000,10,10,10
126,Li Zhan,9040,20,74,45,54,76,50,65,26,8,,○,1000,10,10,10
127,Zhang Heng,6201,18,69,31,74,18,18,84,24,8,,○,1000,10,10,10
128,Liang Gang,6430,19,73,23,73,17,25,73,25,8,,○,1000,10,10,10
129,Cheng Yi,9010,21,82,37,45,24,21,82,26,8,,○,1000,10,10,10
130,Ma Wan,6002,21,89,27,58,45,54,69,27,8,,○,1000,10,10,10
131,Yang Qiu,6400,22,87,36,67,35,47,53,24,8,,○,1000,10,10,10
132,Pang De,56,17,88,87,44,71,32,74,26,8,,○,1300,10,10,10
133,Xu Zhu,38,26,98,19,98,19,21,97,13,0,,○,500,10,10,10
134,Liu Yao,8101,45,71,56,17,43,54,80,13,0,,,1000,10,10,10
135,Tao Qian,8022,66,28,76,15,75,29,100,0,0,,,500,10,10,10
136,Chen Deng,8202,46,65,73,25,38,41,85,10,3,,,1900,10,10,10
137,Chen Gui,8222,71,22,82,15,26,67,87,10,3,,,500,10,10,10
138,Mi Zhu,43,31,88,76,34,52,77,89,11,3,,,800,10,10,10
139,Xu Huang,32,26,90,56,91,65,88,55,12,13,,○,5000,10,10,10
140,Kong Rong,A102,41,84,61,82,50,77,78,9,0,,○,10000,10,10,10
141,Liu Dai,A243,40,87,34,67,25,67,89,12,13,,○,1200,10,10,10
142,Zhang Miao,9322,41,82,20,48,57,78,61,13,0,,○,1000,10,10,10
143,Bao Xin,8200,43,74,16,38,16,17,67,8,0,,,1700,10,10,10
144,Zhao Yun,13,40,95,90,99,86,96,93,2,9,,○,500,10,10,10
145,Han Xian,9320,37,74,19,47,62,73,23,29,5,,,900,10,10,10
146,Yang Feng,A004,38,79,51,61,77,58,100,12,13,◎,○,5000,10,10,10
147,Taishi Ci,33,26,88,47,97,84,34,97,32,2,,○,800,10,10,10
148,Zhang Zhao,7230,31,76,98,18,91,89,93,28,2,,,500,10,10,10
149,Zhang Kuang,9231,24,65,90,27,66,94,89,28,2,,,300,10,10,10
150,Chen Wu,6412,31,85,58,70,28,75,90,28,0,,○,1100,10,10,10
151,Yu Fan,7404,32,74,81,35,39,53,82,31,10,,,400,10,10,10
152,Wang Lang,8001,44,65,69,17,75,29,100,31,10,◎,,1500,10,10,10
153,Lu Su,17,23,89,95,42,76,58,94,34,0,,,1000,10,10,10
154,Zhuge Jin,57,22,84,94,20,70,70,98,34,0,,,500,10,10,10
155,Lu Meng,60,18,79,90,47,82,83,96,34,0,,○,1100,10,10,10
156,Lu Xun,23,12,89,93,83,68,57,93,0,0,,○,1000,10,10,10
157,Chen Qun,9333,9,73,95,31,61,93,89,0,0,,,700,10,10,10
158,Zhu Jun,8012,46,82,58,69,60,69,89,20,0,,○,600,10,10,10
159,Yang Biao,8212,45,78,69,30,34,31,93,19,0,,,700,10,10,10
160,Song Qian,7420,39,74,36,59,60,28,84,6,11,,○,700,10,10,10
161,Wei Xu,6302,40,65,33,74,41,54,76,7,11,,○,700,10,10,10
162,Hou Cheng,A413,38,89,46,81,55,93,82,7,11,,○,800,10,10,10
163,Zhang Liao,31,32,87,86,93,74,98,85,7,11,,○,1200,10,10,10
164,Zhang Xiu,6112,42,81,50,76,90,74,55,37,0,,○,3000,10,10,10
165,Zhou Cang,A241,27,89,30,84,83,88,84,7,0,,○,1500,10,10,10
166,Liao Hua,A112,31,85,50,51,58,82,93,7,0,,○,1300,10,10,10
167,Gu Yong,7343,28,71,75,23,66,94,93,32,0,,,1500,10,10,10
168,Lu Kuang,6031,34,74,23,81,36,87,45,5,0,,○,900,10,10,10
169,Lu Xiang,A044,32,71,26,73,61,69,61,4,0,,○,800,10,10,10
170,Guo Jia,30,31,41,97,19,80,17,98,13,1,,,200,10,10,10
171,Yi Ji,39,34,74,86,18,28,75,94,38,0,,,300,10,10,10
172,Xu Shu,20,23,81,96,37,81,95,97,38,0,,,100,10,10,10
173,Zhuge Liang,0,14,69,100,72,97,84,99,0,0,,○,2000,10,10,10
174,Sima Yi,14,16,88,98,83,91,99,84,0,0,,○,2400,10,10,10
175,Mi Fang,A414,26,93,39,85,36,65,65,10,0,,○,1300,10,10,10
176,Wei Yang,59,21,89,41,94,69,73,34,39,0,,○,700,10,10,10
177,Jian Yong,9303,19,76,75,22,29,35,79,4,0,,,300,10,10,10
178,Jiang Gan,9223,20,78,73,16,18,43,89,32,0,,,200,10,10,10
179,Bu Zhi,9444,16,71,73,44,48,90,92,0,0,,○,900,10,10,10
180,Xue Zong,7011,23,53,50,32,23,62,87,12,0,,,900,10,10,10
181,Lu Ji,7302,26,78,68,33,38,65,85,28,0,,,1000,10,10,10
182,Yan Jun,9123,27,81,61,34,27,51,85,10,0,,,700,10,10,10
183,Kan Ze,9101,37,53,65,35,52,39,89,32,2,,,500,10,10,10
184,Fu Gan,7222,28,76,81,28,20,72,88,6,0,,,800,10,10,10
185,Ding Feng,9301,35,81,81,22,29,47,90,36,0,,,1100,10,10,10
186,Fan Zhang,6104,32,87,29,65,72,74,93,32,0,,○,1300,10,10,10
187,Mao Jie,9314,35,82,20,52,24,18,84,13,0,,○,1000,10,10,10
188,Pang Tong,24,17,74,98,71,78,23,93,38,0,,,700,10,10,10
189,Lu Qian,6004,37,87,25,73,35,36,89,7,11,,,900,10,10,10
190,Xu Sheng,A011,19,79,49,86,56,91,95,0,0,,○,1400,10,10,10
191,Ling Tong,A002,29,85,55,68,63,56,93,31,0,,○,1600,10,10,10
192,Ma Yan,7020,37,73,40,43,62,63,73,6,0,,○,1000,10,10,10
193,Zhang Yi,7012,39,84,44,49,24,51,45,5,0,,○,1000,10,10,10
194,Chen Qiao,8210,46,98,80,22,16,40,90,19,1,,,300,10,10,10
195,Niu Jin,6333,24,87,15,89,47,55,76,37,0,,,500,10,10,10
196,Chen Xi,9410,21,67,23,64,34,44,85,19,0,,○,900,10,10,10
197,Ma Liang,7043,25,51,93,47,44,48,94,38,0,,,500,10,10,10
198,Ma Su,16,18,88,61,55,88,64,89,38,0,,○,700,10,10,10
199,Jin Xuan,8201,46,71,55,37,44,48,87,42,0,,,3000,10,10,10
200,Han Xuan,9332,41,81,72,31,86,74,89,41,0,,,2500,10,10,10
201,Zhao Fan,9321,37,67,36,53,53,66,76,43,0,,○,3000,10,10,10
202,Liu Du,8000,51,76,42,40,67,56,69,44,0,,,1500,10,10,10
203,Liu Yan,9002,30,79,46,50,58,63,74,44,0,,○,1500,10,10,10
204,Xiong Rong,6131,27,74,16,80,41,26,74,44,0,,,1000,10,10,10
205,Bao Long,7014,33,85,27,45,27,32,51,43,0,,○,1000,10,10,10
206,Chen Ying,A133,29,89,19,57,40,68,73,43,0,,○,900,10,10,10
207,Gong Zhi,7402,38,71,65,32,52,93,89,42,0,,,1300,10,10,10
208,Huang Zhong,11,48,84,68,96,80,97,95,41,0,,○,1700,10,10,10
209,Song Xian,7424,28,65,30,66,72,15,93,32,0,,○,1000,10,10,10
210,Zhu Ling,6324,24,87,39,75,61,79,92,21,0,,○,900,10,10,10
211,Wei Pin,A430,22,88,22,84,64,83,95,39,0,,○,700,10,10,10
212,Hua Xin,7224,26,65,72,27,23,87,78,6,0,,,300,10,10,10
213,Zhang Ji,6014,34,85,60,55,49,82,94,22,0,,○,800,10,10,10
214,Zhang Lu,63,35,74,80,71,93,64,82,23,0,,○,8000,10,10,10
215,Yan Pu,7122,33,65,65,30,30,64,82,23,0,,,3000,10,10,10
216,Zhang Wei,6103,31,88,35,75,22,86,81,22,0,,○,3000,10,10,10
217,Zhong Yao,9340,36,61,80,16,43,36,89,21,0,,,500,10,10,10
218,Zhong Jin,A432,28,82,22,57,31,31,88,21,0,,○,1800,10,10,10
219,Yang Xiu,7001,8,61,96,24,22,15,88,0,0,,,100,10,10,10
220,Yang Song,9124,32,69,33,53,58,55,32,45,0,,○,2000,10,10,10
221,Xiahou De,7100,16,73,49,54,67,57,94,0,0,,○,1000,10,10,10
222,Xiahou Xi,A214,11,84,46,76,54,37,93,0,0,,○,1300,10,10,10
223,Man Chong,9224,26,82,55,51,45,68,96,19,0,,○,2000,10,10,10
224,Fu Ren,9312,23,69,25,52,21,30,51,40,0,,○,800,10,10,10
225,Jia Kui,9244,31,67,79,21,47,77,95,20,0,,,400,10,10,10
226,Xu Jing,7041,27,74,79,26,51,88,96,47,0,,,700,10,10,10
227,Wu Ban,6444,25,85,64,70,63,42,89,39,0,,○,1400,10,10,10
228,Sha Ke,A034,29,74,14,89,56,45,84,55,0,,,2700,10,10,10
229,Meng Huo,12,19,96,16,93,50,69,22,54,0,,○,4000,10,10,10
230,Yong Kai,A111,36,73,49,76,73,94,67,54,0,,○,3300,10,10,10
231,Gao Ding,A131,23,82,15,63,77,58,82,53,0,,,1900,10,10,10
232,Zhu Bao,A033,18,87,18,72,46,39,61,54,0,,○,2200,10,10,10
233,Lu Kai,9304,32,88,68,21,36,81,94,53,0,,,500,10,10,10
234,Meng You,6134,16,89,14,83,42,41,20,0,0,,,2100,10,10,10
235,Gou Zhi,7440,25,65,67,36,70,29,96,48,0,,,400,10,10,10
236,Fei Hui,9341,28,71,79,17,51,49,97,49,0,,,600,10,10,10
237,Dong Yun,9232,32,82,86,20,65,79,94,46,0,,,500,10,10,10
238,Shang Chong,6124,20,89,39,85,83,96,89,51,0,,○,900,10,10,10
239,Qiao Zhou,9400,29,85,67,43,39,68,92,50,0,,,600,10,10,10
240,Deng Zhi,7403,0,90,85,34,30,38,87,0,0,,,500,10,10,10
241,Xiahou Mao,A440,19,84,35,58,59,56,89,19,0,,○,1000,10,10,10
242,Jiang Wei,10,-11,89,97,80,73,80,93,0,0,,○,500,10,10,10
243,Guo Huai,9220,19,74,48,50,45,76,93,20,0,,,600,10,10,10
244,Xin Pi,A042,27,89,35,74,78,40,88,19,0,,○,900,10,10,10
245,Sima Zhao,A222,-11,85,85,80,85,100,82,0,0,,○,1500,10,10,10
246,Sima Shi,A223,-9,79,75,88,89,97,87,0,0,,○,1500,10,10,10
247,Jiang Wan,7042,10,61,78,28,66,70,94,0,0,,,1700,10,10,10
248,Hao Zhao,6441,17,88,72,88,80,98,97,20,0,,○,800,10,10,10
249,Zhu Huan,6111,20,89,54,78,50,48,85,28,0,,○,700,10,10,10
250,Quan Cong,7110,23,73,22,52,53,82,89,32,0,,,700,10,10,10
251,Wang Shuang,6231,16,93,15,95,42,65,93,0,0,,,900,10,10,10
252,Wang Ping,A210,14,69,48,68,22,46,94,0,0,,○,800,10,10,10
253,Li Yan,7413,25,53,38,40,21,44,76,46,0,,,800,10,10,10
254,Yang Yi,7140,13,78,71,23,65,42,84,0,0,,,600,10,10,10
