姓名,字,日文,简体,拼音,假名,女,異民族,"S01
身體","S01
知力","S01
武力","S01
魅力","S01
運勢","S02
知力","S02
武力","S02
魅力","S03
陸指","S03
水指","S03
武力","S03
知力","S03
政治","S03
魅力","S04
統率","S04
武力","S04
知力","S04
政治","S04
魅力","S05
武力","S05
知力","S05
政治","S05
魅力","S06
統率","S06
武力","S06
知力","S06
政治","S06
魅力","S07
武力","S07
知力","S07
政治","S07
魅力","S08
武力","S08
知力","S08
政治","S08
魅力","S09
統率","S09
武力","S09
知力","S09
政治","S10
統率","S10
武力","S10
知力","S10
政治","S10
魅力","S11
統率","S11
武力","S11
知力","S11
政治","S11
魅力","S12
統率","S12
武力","S12
知力","S12
政治",備註
于吉,,于吉,于吉,Yú Jí,ウキツ,,,,,,,,,,,,,,,,,,,,,,9,99,23,95,,,,,,14,72,64,84,14,70,83,90,30,10,90,80,,,,,,12,6,66,88,95,,,,,
于禁,文則,于禁,于禁,Yú Jīn,ウキン,,,82,20,72,25,28,53,55,40,62,19,60,52,57,43,77,74,51,48,60,79,71,40,77,80,74,71,41,75,74,71,63,49,80,72,65,50,82,76,72,57,85,77,72,63,47,84,78,70,57,53,83,78,74,57,
于詮,,于詮,于诠,Yú Quán,ウセン,,,,,,,,,,,,,,,,,60,56,44,52,61,58,44,51,62,63,55,41,40,45,67,52,48,53,73,49,46,67,67,73,42,36,65,76,42,37,68,64,76,40,39,67,64,76,40,38,SAN12 家機版限定武將。
于糜,,于糜,于糜,Yú Mí,ウビ,,,,,,,,,,,58,29,61,28,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三代日文版誤植為「干糜」。
衛瓘,伯玉,衛瓘,卫瓘,Wèi Guàn,エイカン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,82,79,42,69,53,81,79,69,45,81,78,37,69,46,79,78,28,69,46,79,78,
越吉,,越吉,越吉,Yuè Jí,エツキツ,,羌,,,,,,,,,,,,,,,62,73,21,16,31,80,15,13,33,59,77,18,16,24,72,34,13,29,80,24,26,38,,,,,,,,,,,,,,,81,88,26,35,
袁遺,伯業,袁遺,袁遗,Yuán Yí,エンイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,70,73,62,56,70,76,66,61,43,71,76,57,38,73,76,69,56,40,73,76,70,,,,,
袁胤,,袁胤,袁胤,Yuán Yìn,エンイン,,,71,63,25,92,50,59,27,74,23,10,25,59,62,65,27,24,60,63,65,30,60,61,66,41,34,60,65,65,29,46,36,40,23,39,39,47,27,18,42,43,26,15,39,45,43,17,14,39,41,46,32,14,39,41,
閻宇,文平,閻宇,阎宇,Yán Yǔ,エンウ,,,,,,,,,,,,,,,,,60,57,20,46,36,61,18,47,27,58,51,18,52,19,73,56,43,63,54,42,36,34,70,69,46,54,59,64,60,56,20,52,61,58,59,20,52,61,51,59,
袁渙,,袁渙,袁涣,Yuán Huàn,エンカン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,17,72,83,83,,,,,
袁熙,顯奕,袁煕,袁熙,Yuán Xī,エンキ,,,73,52,46,89,22,63,60,50,57,22,58,63,65,52,70,54,65,64,53,60,68,64,73,69,57,72,67,75,57,64,67,62,59,60,67,68,65,55,64,72,69,54,68,70,66,66,51,63,65,64,66,51,63,65,
閻行,彥明,閻行,阎行,Yán Háng,エンコウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,86,38,33,50,72,84,61,58,69,76,84,66,58,
閻柔,,閻柔,阎柔,Yán Róu,エンジュウ,,,,,,,,,,,,,,,,,,,,,,,,,,59,75,51,41,64,36,56,63,74,32,62,64,78,76,54,71,75,74,50,70,73,80,71,57,70,73,78,71,57,71,73,
袁術,公路,袁術,袁术,Yuán Shù,エンジュツ,,,89,60,95,95,60,69,80,50,71,63,79,67,61,53,78,63,67,61,55,71,69,14,83,77,59,71,13,90,68,64,34,47,66,62,35,40,49,66,71,15,52,66,72,17,44,44,65,61,16,39,44,65,65,16,
閻象,,閻象,阎象,Yán Xiàng,エンショウ,,,,,,,,,,,32,10,39,70,83,61,,,,,,,,,,,,,,,,,,,28,63,66,56,29,26,66,73,29,27,69,74,62,30,27,70,74,51,30,27,71,74,
袁尚,顯甫,袁尚,袁尚,Yuán Shàng,エンショウ,,,82,63,87,98,61,64,68,52,74,20,69,63,57,51,61,72,46,52,60,71,47,42,77,54,72,68,36,81,47,72,56,73,73,44,42,76,62,73,44,34,66,70,50,44,79,63,71,42,38,72,63,75,42,38,
袁紹,本初,袁紹,袁绍,Yuán Shào,エンショウ,,,35,54,82,98,86,70,81,70,71,71,80,71,64,61,75,80,72,52,80,81,77,49,92,85,67,76,59,96,80,76,72,84,68,75,77,90,80,68,75,77,80,69,76,77,91,81,69,70,73,90,81,69,70,73,
袁譚,顯思,袁譚,袁谭,Yuán Tán,エンタン,,,76,57,69,94,38,55,57,52,56,19,58,54,48,53,61,54,44,59,54,63,49,48,74,67,59,55,38,78,70,36,37,56,70,33,40,56,58,70,27,34,62,68,30,40,57,60,69,30,35,59,60,69,30,35,
閻圃,,閻圃,阎圃,Yán Pǔ,エンホ,,,65,65,30,30,64,80,33,42,27,14,36,80,78,48,33,32,80,77,55,31,80,86,77,33,35,77,88,72,26,85,81,69,31,80,83,67,32,27,82,78,31,28,82,78,69,29,25,82,79,70,29,25,82,79,
袁燿,,袁燿,袁燿,Yuán Yào,エンヨウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,41,25,38,43,39,52,62,45,52,43,54,44,42,45,50,59,41,50,41,51,53,,,,,
王威,,王威,王威,Wáng Wēi,オウイ,,,,,,,,32,70,62,36,21,40,58,62,43,,,,,,,,,,59,60,68,54,36,60,53,51,52,63,60,53,68,65,70,55,49,61,65,60,54,64,60,70,59,52,66,60,70,62,52,
王異,,王異,王异,Wáng Yì,オウイ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,26,82,68,73,73,51,82,68,
王允,子師,王允,王允,Wáng Yǔn,オウイン,,,,,,,,,,,48,16,52,64,73,62,57,39,69,85,67,29,72,92,78,16,18,77,96,85,53,66,78,81,15,67,82,78,24,7,72,89,27,5,73,78,77,26,6,67,80,76,26,6,68,80,
王悦,,王悦,王悦,Wáng Yuè,オウエツ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,81,42,35,72,,,,,SAN11 家機版限定武將。
王楷,,王楷,王楷,Wáng Kǎi,オウカイ,,,,,,,,58,31,24,29,8,32,54,60,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王含,,王含,王含,Wáng Hán,オウガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,56,58,54,46,43,47,58,,,,,,,,,,,,,,,
王基,伯輿,王基,王基,Wáng Jī,オウキ,,,,,,,,,,,71,70,72,69,47,71,75,69,67,45,53,76,69,48,61,76,62,70,53,60,78,74,63,67,78,72,69,73,77,75,75,76,78,75,74,76,75,77,78,76,75,75,77,72,86,85,
王頎,孔碩,王頎,王颀,Wáng Qí,オウキ,,,,,,,,,,,,,,,,,70,61,45,30,45,63,42,30,46,60,57,44,35,35,73,53,64,78,68,54,73,67,67,71,61,74,70,66,63,76,73,69,67,61,70,68,,,,,
王匡,公節,王匡,王匡,Wáng Kuāng,オウキョウ,,,,,,,,33,45,43,47,25,51,40,35,45,,,,,,,,,,72,67,54,64,71,68,63,58,76,58,60,71,66,64,50,61,71,64,57,64,67,79,65,55,61,70,80,,,,,
王業,,王業,王业,Wáng Yè,オウギョウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,6,36,76,32,6,46,72,50,33,6,35,66,49,,,,,
王經,彥緯,王経,王经,Wáng Jīng,オウケイ,,,,,,,,,,,,,,,,,60,48,73,68,71,42,77,63,74,55,47,65,77,72,78,67,75,80,68,64,74,76,70,61,68,73,64,62,67,75,77,67,63,66,75,76,67,63,71,75,
王元姬,,王元姫,王元姬,Wáng Yuánjī,オウゲンキ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,37,73,75,
王垢,,王垢,王垢,Wáng Gòu,オウコウ,,,,,,,,,,,63,26,66,47,38,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王伉,,王伉,王伉,Wáng Kàng,オウコウ,,,,,,,,53,55,62,56,18,58,55,70,67,,,,,,47,60,67,70,51,43,60,69,66,58,53,63,54,58,58,66,68,68,66,52,52,69,58,53,69,61,76,60,61,62,65,76,60,61,62,
王渾,玄沖,王渾,王浑,Wáng Hún,オウコン,,,,,,,,,,,,,,,,,71,41,62,80,55,65,60,76,71,69,32,68,80,49,81,70,76,68,76,72,77,72,72,77,72,68,75,77,72,74,70,76,76,72,74,69,74,71,63,74,
王粲,仲宣,王粲,王粲,Wáng Càn,オウサン,,,82,87,19,26,47,85,29,70,28,13,30,70,86,68,29,26,82,85,69,23,83,86,67,28,28,78,80,67,16,83,87,60,16,82,85,51,7,3,81,83,6,4,82,84,57,6,3,79,80,56,15,3,79,80,
王子服,,王子服,王子服,Wáng Zǐfú,オウシフク,,,,,,,,,,,54,20,79,64,54,70,,,,,,68,64,61,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王脩,叔治,王脩,王脩,Wáng Xiū,オウシュウ,,,,,,,,50,40,64,37,15,42,65,68,69,41,40,66,67,69,39,62,67,69,34,34,67,66,67,46,75,80,63,40,68,76,72,42,65,71,76,53,27,76,78,65,54,27,76,78,63,54,27,77,78,
王戎,濬沖,王戎,王戎,Wáng Róng,オウジュウ,,,,,,,,,,,,,,,,,69,43,81,62,63,44,81,60,55,62,41,77,63,61,78,78,49,53,67,72,54,60,65,42,72,70,60,36,72,56,48,57,36,72,55,49,,,,,
王肅,子雍,王粛,王肃,Wáng Sù,オウシュク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,85,81,72,47,26,81,76,35,21,80,78,76,36,22,75,78,71,36,22,76,78,
王濬,士治,王濬,王濬,Wáng Jùn,オウシュン,,,,,,,,,,,,,,,,,86,83,79,72,82,84,80,64,80,81,83,76,64,77,84,75,62,70,72,83,80,84,82,73,82,70,81,71,79,70,78,81,73,77,71,75,81,73,77,71,
王昌,,王昌,王昌,Wáng Chāng,オウショウ,,,,,,,,,,,60,23,64,52,39,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王祥,休徵,王祥,王祥,Wáng Xiáng,オウショウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,28,68,82,25,19,65,76,84,23,19,68,78,84,23,19,68,78,
王植,,王植,王植,Wáng Zhí,オウショク,,,,,,,,,,,58,26,62,59,50,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王沈,處道,王沈,王沈,Wáng Shěn,オウシン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,14,66,70,,,,,,,,,,,,,,,
王真,,王真,王真,Wáng Zhēn,オウシン,,,,,,,,,,,,,,,,,49,69,50,47,51,69,28,37,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
區星,,区星,区星,Qū Xīng,オウセイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,42,35,63,,,,,56,71,31,29,40,55,70,38,29,53,63,70,38,33,
王雙,子全,王双,王双,Wáng Shuāng,オウソウ,,,93,15,95,42,65,18,89,22,84,70,88,21,20,29,72,90,24,23,34,89,18,21,32,58,89,15,26,31,84,16,27,21,87,20,27,40,66,89,28,20,61,89,18,20,24,64,88,19,22,27,67,88,19,22,
王則,,王則,王则,Wáng Zé,オウソク,,,,,,,,,,,46,18,53,61,72,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王忠,,王忠,王忠,Wáng Zhōng,オウチュウ,,,,,,,,34,52,53,53,17,55,37,34,50,,,,,,,,,,,,,,,,,,,60,33,34,39,45,58,23,25,42,58,21,29,20,39,57,21,27,49,,,,,
王昶,文舒,王昶,王昶,Wáng Chǎng,オウチョウ,,,,,,,,,,,,,,,,,72,70,56,49,60,71,53,42,59,74,57,52,40,60,76,72,85,64,67,70,74,75,71,63,70,83,75,61,70,83,78,74,64,79,79,75,74,64,79,79,
王韜,,王韜,王韬,Wáng Tāo,オウトウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,57,72,50,48,44,70,54,60,46,59,72,51,49,,,,,
王桃,,王桃,王桃,Wáng Táo,オウトウ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,80,46,32,71,,,,,SAN11 家機版限定武將。
王同,,王同,王同,Wáng Tóng,オウドウ,,烏丸,,,,,,,,,,,,,,,,,,,,,,,,44,68,41,25,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
王惇,,王惇,王惇,Wáng Dūn,オウトン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,44,48,72,70,63,44,53,60,65,41,62,53,60,66,46,61,56,60,66,46,61,
王買,,王買,王买,Wáng Mǎi,オウバイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,64,57,43,,,,,,,,,,,,,,,
王平,子均,王平,王平,Wáng Píng,オウヘイ,,,69,48,68,22,46,49,73,80,72,70,72,67,59,81,80,75,67,55,78,79,71,54,71,77,76,71,61,71,82,74,71,64,75,76,59,56,79,77,81,54,83,76,76,56,50,83,79,76,58,51,83,79,76,58,
王甫,國山,王甫,王甫,Wáng Fǔ,オウホ,,,,,,,,,,,74,70,63,73,68,82,70,52,73,68,81,42,75,69,80,47,34,75,73,74,36,77,73,75,43,76,77,72,59,36,76,77,52,43,78,75,73,62,41,79,78,73,62,41,79,78,
王方,,王方,王方,Wáng Fāng,オウホウ,,,,,,,,,,,42,19,57,41,28,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王門,,王門,王门,Wáng Mén,オウモン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,69,37,36,64,67,32,40,52,65,64,31,41,49,65,64,31,41,
王淩,彥雲,王凌,王凌,Wáng Líng,オウリョウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,72,83,79,70,61,72,83,73,60,71,84,75,74,64,70,82,71,74,64,71,82,
王累,,王累,王累,Wáng Léi,オウルイ,,,63,62,26,20,35,82,19,74,21,4,23,80,85,78,25,27,82,91,77,26,80,89,76,40,28,76,89,69,31,58,62,56,30,76,81,70,29,31,77,79,29,30,74,77,72,28,30,78,80,73,28,30,79,80,
王朗,景興,王朗,王朗,Wáng Lǎng,オウロウ,,,65,69,17,75,29,60,48,48,43,11,46,60,62,62,52,41,63,62,63,50,61,62,63,49,29,51,73,65,38,78,81,63,41,70,71,48,43,37,70,83,46,34,76,81,49,47,35,79,81,51,47,35,79,81,
於夫羅,,於夫羅,于夫罗,Yú Fūluó,オフラ,,匈奴,,,,,,,,,,,,,,,,,,,,,,,,78,80,61,49,81,70,21,34,68,70,21,34,60,,,,,72,68,8,34,64,,,,,,72,68,21,38,
溫恢,曼基,温恢,温恢,Wēn Huī,オンカイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,40,78,85,73,62,36,73,86,76,62,36,74,86,
何晏,平叔,何晏,何晏,Hé Yàn,カアン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,79,56,32,33,68,38,16,10,36,74,72,6,27,72,68,3,6,30,71,70,8,15,30,72,70,
蒯越,異度,蒯越,蒯越,Kuǎi Yuè,カイエツ,,,74,88,20,43,34,82,31,77,26,9,29,74,81,60,29,31,79,85,63,29,87,82,70,26,30,84,78,69,31,84,74,71,28,83,85,66,42,32,82,86,49,33,84,87,71,47,27,82,88,73,47,27,82,88,
蒯良,子柔,蒯良,蒯良,Kuǎi Liáng,カイリョウ,,,,,,,,86,30,46,27,10,30,72,80,58,41,31,85,82,64,27,86,87,72,41,28,81,82,71,29,79,73,65,36,86,82,63,69,36,88,82,69,37,88,82,66,68,33,88,82,71,68,33,88,82,
賈華,,賈華,贾华,Jiǎ Huá,カカ,,,,,,,,58,61,51,58,38,62,60,59,52,,,,,,,,,,,,,,,,,,,70,38,46,54,53,67,43,32,50,66,40,29,53,49,65,41,29,52,49,65,41,29,
華覈,永先,華覈,华覈,Huá Hé,カカク,,,,,,,,,,,,,,,,,52,21,79,52,71,24,78,60,71,37,27,75,67,58,31,78,75,64,29,69,78,69,17,26,72,78,19,22,75,75,72,20,24,71,78,68,20,24,71,78,
俄何燒戈,,俄何焼戈,俄何烧戈,Éhé Shāogē,ガカショウカ,,羌,,,,,,,,,,,,,,,61,72,17,11,15,74,16,13,14,53,75,15,27,21,65,14,25,42,74,18,25,49,,,,,61,76,1,12,32,,,,,,61,76,13,21,
賈逵,梁道,賈逵,贾逵,Jiǎ Kuí,カキ,,,67,79,21,47,77,68,57,62,54,20,55,64,71,68,59,54,64,73,69,47,74,71,67,55,55,74,76,67,75,75,81,76,71,80,82,73,73,69,82,83,75,62,80,86,78,78,61,84,85,75,78,61,84,85,
何儀,,何儀,何仪,Hé Yí,カギ,,,,,,,,,,,,,,,,,,,,,,70,31,19,24,49,68,25,17,20,57,19,18,53,63,19,18,28,59,67,32,12,55,69,37,10,16,56,69,36,10,17,56,69,36,10,
華歆,子魚,華歆,华歆,Huá Xīn,カキン,,,65,72,27,23,87,78,29,85,26,12,28,62,76,31,26,45,66,75,32,35,80,85,30,18,43,75,91,23,59,76,80,53,46,84,72,16,25,38,86,82,11,35,84,80,8,18,33,82,83,17,33,33,82,83,
賈詡,文和,賈詡,贾诩,Jiǎ Xǔ,カク,,,55,94,19,19,89,95,42,62,81,72,40,94,87,67,75,30,96,93,67,42,97,89,68,69,30,94,94,66,61,93,88,65,56,94,90,75,81,34,97,84,81,45,98,84,56,86,48,97,85,57,88,48,97,85,
郭奕,伯益,郭奕,郭奕,Guō Yì,カクエキ,,,,,,,,89,30,71,23,13,29,65,80,47,36,28,69,83,47,30,79,82,41,40,29,80,76,29,23,76,70,38,23,72,78,43,23,29,70,76,19,23,75,74,28,21,29,70,76,47,33,29,70,76,
郭援,,郭援,郭援,Guō Yuán,カクエン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,73,36,33,48,,,,,
郭嘉,奉孝,郭嘉,郭嘉,Guō Jiā,カクカ,,,41,97,19,80,17,97,39,86,32,6,36,80,97,82,42,27,99,92,89,32,98,91,92,47,23,99,92,80,12,96,92,83,24,97,90,82,58,10,98,81,52,12,97,82,80,51,15,98,84,78,88,15,96,84,
鄂煥,,鄂煥,鄂焕,È Huàn,ガクカン,,,,,,,,,,,,,,,,,,,,,,,,,,54,82,55,21,59,74,46,23,50,74,42,23,48,67,81,47,22,60,83,49,24,50,60,82,42,21,41,65,82,42,21,
郭氏,,郭氏,郭氏,Guō Shì,カクシ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,6,79,74,85,42,4,69,64,SAN11 家機版限定武將。
郭汜,,郭汜,郭汜,Guō Sì,カクシ,,,63,37,59,60,31,30,59,42,59,20,61,33,33,37,59,64,33,34,39,65,37,21,45,58,67,31,14,37,62,46,28,35,69,39,28,33,63,74,18,19,66,76,18,11,13,64,76,13,14,13,64,76,13,14,
樂就,,楽就,乐就,Lè Jiù,ガクシュウ,,,,,,,,54,74,53,67,32,70,51,47,50,,,,,,,,,,,,,,,,,,,,,,,64,70,47,34,56,68,58,39,52,53,66,58,42,53,53,66,61,42,
霍峻,仲邈,霍峻,霍峻,Huò Jùn,カクシュン,,,,,,,,66,65,74,62,18,67,65,52,73,65,67,66,53,70,77,65,51,70,76,69,73,57,68,78,53,64,70,68,65,64,70,77,62,72,68,76,65,71,64,70,80,66,73,62,70,73,66,73,62,
郝昭,伯道,郝昭,郝昭,Hǎo Zhāo,カクショウ,,,88,72,88,80,98,71,84,81,80,76,85,76,70,83,87,84,83,80,84,84,89,80,85,89,81,86,82,80,81,64,52,61,78,85,69,76,85,79,84,65,88,77,78,63,68,89,79,78,62,72,86,79,78,62,
樂進,文謙,楽進,乐进,Lè Jìn,ガクシン,,,79,33,53,40,53,38,44,41,74,70,74,39,32,76,68,79,44,32,75,80,54,40,78,73,67,56,48,70,81,71,52,74,83,56,51,70,78,85,50,48,80,85,53,45,70,80,84,52,51,65,80,84,56,51,
郭石,,郭石,郭石,Guō Shí,カクセキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,48,42,41,,,,,,,,,,,,,,,59,71,48,42,
樂綝,,楽綝,乐綝,Lè Lín,ガクチン,,,,,,,,,,,53,12,56,43,25,31,57,62,44,26,30,60,44,30,37,45,52,33,22,37,73,56,46,50,70,38,47,51,71,75,39,43,72,75,41,49,57,73,75,43,41,63,73,75,43,41,
郭圖,公則,郭図,郭图,Guō Tú,カクト,,,89,43,90,16,85,80,32,42,31,8,34,76,81,40,39,33,71,82,40,32,80,72,43,63,67,81,45,39,56,73,52,43,56,81,76,38,41,45,83,72,51,50,82,70,28,52,50,82,68,37,52,50,82,68,
郭馬,,郭馬,郭马,Guō Mǎ,カクバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,74,40,20,68,71,49,30,50,68,71,47,21,54,,,,,
郝萌,,郝萌,郝萌,Hǎo Méng,カクボウ,,,,,,,,51,47,67,46,13,60,51,53,62,,,,,,,,,,,,,,,,,,,,,,,,,,,57,66,41,35,33,62,67,42,34,48,62,67,42,34,
郭攸之,演長,郭攸之,郭攸之,Guō Yōuzhī,カクユウシ,,,65,67,36,70,29,74,32,68,45,31,38,75,85,70,40,32,74,85,70,31,73,80,65,37,22,71,74,64,34,68,71,57,21,62,79,60,15,9,67,78,15,10,60,74,60,13,9,68,79,60,28,9,69,79,
霍弋,紹先,霍弋,霍弋,Huò Yì,カクヨク,,,,,,,,,,,,,,,,,69,71,65,52,65,70,63,47,65,67,60,67,49,63,76,64,74,65,68,62,70,72,73,70,72,73,71,67,70,71,74,73,69,69,74,74,73,69,69,74,
郭淮,伯濟,郭淮,郭淮,Guō Huái,カクワイ,,,74,48,50,45,76,64,54,51,53,20,58,66,67,50,79,72,67,65,54,79,72,65,66,77,75,71,71,70,80,82,76,70,78,83,76,75,84,77,82,73,86,77,82,75,78,87,78,81,75,77,87,78,81,75,
柯吾,,柯吾,柯吾,Kē Wú,カゴ,,羌,,,,,,,,,,,,,,,,,,,,,,,,44,61,41,31,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
和洽,,和洽,和洽,Hé Qià,カコウ,,,,,,,,,,,29,10,35,58,71,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏侯威,季權,夏侯威,夏侯威,Xiàhóu Wēi,カコウイ,,,,,,,,75,74,73,75,71,75,72,67,70,74,79,71,64,73,77,70,61,70,73,76,71,66,73,65,51,55,57,74,51,54,62,68,70,51,64,71,70,51,58,64,71,73,49,57,67,71,73,49,57,
夏侯淵,妙才,夏侯淵,夏侯渊,Xiàhóu Yuān,カコウエン,,,82,60,92,74,37,60,90,71,86,74,90,58,55,74,90,92,57,56,78,91,59,43,82,79,90,58,56,82,88,53,49,64,92,51,56,80,91,92,51,64,92,91,56,61,78,87,91,54,61,80,90,91,68,61,
夏侯恩,,夏侯恩,夏侯恩,Xiàhóu Ēn,カコウオン,,,,,,,,65,63,72,58,27,60,62,64,75,52,60,60,51,65,63,55,45,58,49,51,39,57,45,53,42,51,46,60,42,49,73,61,69,59,51,53,59,50,53,71,63,72,52,45,71,63,72,53,45,
